﻿相对路径,文件名,大小(字节),MD5,年份,批次,分类
2020/20201228/集客无线AP_QCA_MIPS/JIKEAP_AP267F-H_QCA956X_1000M_QCA9886_6.3_2020122800.bin.rar,JIKEAP_AP267F-H_QCA956X_1000M_QCA9886_6.3_2020122800.bin.rar,7442589,ea2cc5d5fc6eafb63a1025517aa1b3fd,2020,20201228,集客无线AP_QCA_MIPS
2020/20201228/集客无线AP_QCA_MIPS/JIKEAP_AP267F-Hv2_QCA956X_1000M_QCA9886_6.3_2020122800.bin.rar,JIKEAP_AP267F-Hv2_QCA956X_1000M_QCA9886_6.3_2020122800.bin.rar,7442695,38860bdc749ea8989766c1ec47225b15,2020,20201228,集客无线AP_QCA_MIPS
2020/20201228/集客无线AP_QCA_MIPS/JIKEAP_AP280F-H_QCA953X_100M_QCA9887_6.3_2020122800.bin.rar,JIKEAP_AP280F-H_QCA953X_100M_QCA9887_6.3_2020122800.bin.rar,6536443,79510f16548cfae3d7e4f364564fea21,2020,20201228,集客无线AP_QCA_MIPS
2020/20201228/集客无线AP_QCA_MIPS/JIKEAP_AP281Y-H_QCA956X_6.3_2020122800.bin.rar,JIKEAP_AP281Y-H_QCA956X_6.3_2020122800.bin.rar,7443172,b40d821b35de6d0b7d0cd97425d3779e,2020,20201228,集客无线AP_QCA_MIPS
2020/20201228/集客无线AP_QCA_MIPS/JIKEAP_AP282T-H_QCA956X_1000M_QCA9882_6.3_2020122800.bin.rar,JIKEAP_AP282T-H_QCA956X_1000M_QCA9882_6.3_2020122800.bin.rar,7356156,eca49370a289ab5bada166d5871d2547,2020,20201228,集客无线AP_QCA_MIPS
2020/20201228/集客无线AP_QCA_MIPS/JIKEAP_AP3513NA_QCA934X_6.3_2020122800.bin.rar,JIKEAP_AP3513NA_QCA934X_6.3_2020122800.bin.rar,6173930,7de9fd6fd8207bff44c644d1d4ecad4b,2020,20201228,集客无线AP_QCA_MIPS
2020/20201228/集客无线AP_QCA_MIPS/JIKEAP_AP49_QCA953X_6.3_2020122800.bin.rar,JIKEAP_AP49_QCA953X_6.3_2020122800.bin.rar,6556075,39fc028d32cddeb67f693906f00a09b2,2020,20201228,集客无线AP_QCA_MIPS
2020/20201228/集客无线AP_QCA_MIPS/JIKEAP_AP630_QCA953X_100M_EPORT_6.3_2020122800.bin.rar,JIKEAP_AP630_QCA953X_100M_EPORT_6.3_2020122800.bin.rar,6174833,cd658e347f8812b26f488aa98390386e,2020,20201228,集客无线AP_QCA_MIPS
2020/20201228/集客无线AP_QCA_MIPS/JIKEAP_AP630v2_QCA953X_100M_EPORT_6.3_2020122800.bin.rar,JIKEAP_AP630v2_QCA953X_100M_EPORT_6.3_2020122800.bin.rar,6173777,f2cc700c2520ad3121af234bd7304dc6,2020,20201228,集客无线AP_QCA_MIPS
2020/20201228/集客无线AP_QCA_MIPS/JIKEAP_AP675_QCA953X_100M_EPORT_6.3_2020122800.bin.rar,JIKEAP_AP675_QCA953X_100M_EPORT_6.3_2020122800.bin.rar,6536594,7a78bf1e7b6c854ccf5576b2b70819ed,2020,20201228,集客无线AP_QCA_MIPS
2020/20201228/集客无线AP_QCA_MIPS/JIKEAP_AP830H_QCA953X_100M_6.3_2020122800.bin.rar,JIKEAP_AP830H_QCA953X_100M_6.3_2020122800.bin.rar,6174780,f163ba4afe1ad3fa77f59c530a90b3d6,2020,20201228,集客无线AP_QCA_MIPS
2020/20201228/集客无线AP_QCA_MIPS/JIKEAP_AP875H_QCA953X_100M_QCA9887_6.3_2020122800.bin.rar,JIKEAP_AP875H_QCA953X_100M_QCA9887_6.3_2020122800.bin.rar,6536492,fd761a4e6664feb04e38e29da128b8c6,2020,20201228,集客无线AP_QCA_MIPS
2020/20201228/集客无线AP_QCA_MIPS/JIKEAP_AP9344_35P0_QCA934X_1000M_FREE_6.3_2020122800.bin.rar,JIKEAP_AP9344_35P0_QCA934X_1000M_FREE_6.3_2020122800.bin.rar,6174631,7d3fe9b077c01f872212f0088e02cf68,2020,20201228,集客无线AP_QCA_MIPS
2020/20201228/集客无线AP_QCA_MIPS/JIKEAP_AP9344_35P4_QCA934X_1000M_FREE_6.3_2020122800.bin.rar,JIKEAP_AP9344_35P4_QCA934X_1000M_FREE_6.3_2020122800.bin.rar,6174872,5d9a9d06a7eb41123495e5e0be2cfa14,2020,20201228,集客无线AP_QCA_MIPS
2020/20201228/集客无线AP_QCA_MIPS/JIKEAP_AP9344_8327_QCA934X_1000M_FREE_6.3_2020122800.bin.rar,JIKEAP_AP9344_8327_QCA934X_1000M_FREE_6.3_2020122800.bin.rar,6567354,b713f8fd2d1dce08c8e4ab2b049b8e25,2020,20201228,集客无线AP_QCA_MIPS
2020/20201228/集客无线AP_QCA_MIPS/JIKEAP_AP9344_M100_QCA934X_100M_FREE_6.3_2020122800.bin.rar,JIKEAP_AP9344_M100_QCA934X_100M_FREE_6.3_2020122800.bin.rar,6174858,8f5aaa9769c9410c64b45a3beffeea24,2020,20201228,集客无线AP_QCA_MIPS
2020/20201228/集客无线AP_QCA_MIPS/JIKEAP_AP9344_RTL_QCA934X_1000M_FREE_6.3_2020122800.bin.rar,JIKEAP_AP9344_RTL_QCA934X_1000M_FREE_6.3_2020122800.bin.rar,6174962,7ea40fa4022a24666f60d9997d297f1a,2020,20201228,集客无线AP_QCA_MIPS
2020/20201228/集客无线AP_QCA_MIPS/JIKEAP_AP941_QCA953X_100M_FREE_6.3_2020122800.bin.rar,JIKEAP_AP941_QCA953X_100M_FREE_6.3_2020122800.bin.rar,6173388,4b188e0ecc91331faae33384401da179,2020,20201228,集客无线AP_QCA_MIPS
2020/20201228/集客无线AP_QCA_MIPS/JIKEAP_AP9558_QCA955X_1000M_QCA9880_FREE_6.3_2020122800.bin.rar,JIKEAP_AP9558_QCA955X_1000M_QCA9880_FREE_6.3_2020122800.bin.rar,7356409,48cde2799e656f43d857136c2eb07229,2020,20201228,集客无线AP_QCA_MIPS
2020/20201228/集客无线AP_QCA_MIPS/JIKEAP_ARIMA2210_QCA934X_EPORT_6.3_2020122800.bin.rar,JIKEAP_ARIMA2210_QCA934X_EPORT_6.3_2020122800.bin.rar,6173637,c5227b6c24e53a7f3bcbfc43092b2db8,2020,20201228,集客无线AP_QCA_MIPS
2020/20201228/集客无线AP_QCA_MIPS/JIKEAP_K2TS_QCA956X_1000M_QCA9886_FREE_6.3_2020122800.bin.rar,JIKEAP_K2TS_QCA956X_1000M_QCA9886_FREE_6.3_2020122800.bin.rar,6746780,2ff81e457de083f1fc97ff6787301681,2020,20201228,集客无线AP_QCA_MIPS
2020/20201228/集客无线AP_QCA_MIPS/JIKEAP_K2T_QCA956X_1000M_QCA9886_EPORT_FREE_6.3_2020122800.bin.rar,JIKEAP_K2T_QCA956X_1000M_QCA9886_EPORT_FREE_6.3_2020122800.bin.rar,6747137,2f3e9324a8b38cf66db8027a93278e57,2020,20201228,集客无线AP_QCA_MIPS
2020/20201228/集客无线AP_QCA_MIPS/JIKEAP_MI100_QCA934X_100M_FREE_6.3_2020122800.bin.rar,JIKEAP_MI100_QCA934X_100M_FREE_6.3_2020122800.bin.rar,6173437,8cf7e3fc90fe22eb473161aea6852ff6,2020,20201228,集客无线AP_QCA_MIPS
2020/20201228/集客无线AP_QCA_MIPS/JIKEAP_WPJ563_QCA956X_1000M_QCA9880_6.3_2020122800.bin.rar,JIKEAP_WPJ563_QCA956X_1000M_QCA9880_6.3_2020122800.bin.rar,7708353,6ce487edfae82ef912499cc6b08429b7,2020,20201228,集客无线AP_QCA_MIPS
2020/20201228/集客无线AP_QCA_MIPS/release_notes.txt,release_notes.txt,3685,e818cddba6f5034a41dd09fa96094820,2020,20201228,集客无线AP_QCA_MIPS
2020/20210114/集客无线AP_MTK/JIKEAP_AP210G_MT7620_EPORT_6.1_2021011400.bin.rar,JIKEAP_AP210G_MT7620_EPORT_6.1_2021011400.bin.rar,4426760,46160fcb94206ecb26706d9e4ee4ec1d,2020,20210114,集客无线AP_MTK
2020/20210114/集客无线AP_MTK/JIKEAP_AP230EP_MT7620_withPA_LLELL_EPORT_FREE_6.1_2021011400.bin.rar,JIKEAP_AP230EP_MT7620_withPA_LLELL_EPORT_FREE_6.1_2021011400.bin.rar,6452487,9654f323cf6e13349aecaa7f8c6f4014,2020,20210114,集客无线AP_MTK
2020/20210114/集客无线AP_MTK/JIKEAP_AP230IP_MT7620_noPA_LLELL_EPORT_FREE_6.1_2021011400.bin.rar,JIKEAP_AP230IP_MT7620_noPA_LLELL_EPORT_FREE_6.1_2021011400.bin.rar,6450989,0bbed91050fdfbfa7ad46d7e673044d7,2020,20210114,集客无线AP_MTK
2020/20210114/集客无线AP_MTK/JIKEAP_AP238AN_MT7628_LLELL_EPORT_FREE_6.1_2021011400.bin.rar,JIKEAP_AP238AN_MT7628_LLELL_EPORT_FREE_6.1_2021011400.bin.rar,6533652,0a32c066594f77a35d5cf490f426b486,2020,20210114,集客无线AP_MTK
2020/20210114/集客无线AP_MTK/JIKEAP_AP242P_MT7621_LLLLL_64M_EPORT_FREE_6.1_2021011400.bin.rar,JIKEAP_AP242P_MT7621_LLLLL_64M_EPORT_FREE_6.1_2021011400.bin.rar,6499438,5d3a15c54b9fe6a50fe38ac028700bcd,2020,20210114,集客无线AP_MTK
2020/20210114/集客无线AP_MTK/JIKEAP_AP245P_MT7621_MT7615DN_LLELL_EPORT_FREE_6.1_2021011400.bin.rar,JIKEAP_AP245P_MT7621_MT7615DN_LLELL_EPORT_FREE_6.1_2021011400.bin.rar,5386785,01521de66b6aee28f256604c8ce9004f,2020,20210114,集客无线AP_MTK
2020/20210114/集客无线AP_MTK/JIKEAP_AP246HI_MT7621_1000_FREE_6.1_2021011400.bin.rar,JIKEAP_AP246HI_MT7621_1000_FREE_6.1_2021011400.bin.rar,6523141,96e5b808daa8d0e3fd8833c9fe9ca8e3,2020,20210114,集客无线AP_MTK
